config,scenario_id,mode,rep_idx,true_class,pred_class,wall_time_s,success
physics (2),0,open_loop,0,healthy,combined,56.6139429169707,True
physics (2),0,open_loop,1,healthy,combined,59.13078629085794,True
physics (2),0,open_loop,2,healthy,fouling_dominant,46.232616958906874,True
physics (2),0,open_loop,3,healthy,combined,249.36093279207125,True
physics (2),0,open_loop,4,healthy,combined,65.26105383294635,True
physics (2),1,closed_loop,0,healthy,healthy,47.311999790836126,True
physics (2),1,closed_loop,1,healthy,fouling_dominant,47.80485616601072,True
physics (2),1,closed_loop,2,healthy,healthy,52.41742266714573,True
physics (2),1,closed_loop,3,healthy,fouling_dominant,45.964924834202975,True
physics (2),1,closed_loop,4,healthy,combined,145.97829095902853,True
physics (2),2,closed_loop,0,fouling_dominant,fouling_dominant,146.39908266603015,True
physics (2),2,closed_loop,1,fouling_dominant,fouling_dominant,125.53230870887637,True
physics (2),2,closed_loop,2,fouling_dominant,combined,1502.5021929999348,True
physics (2),2,closed_loop,3,fouling_dominant,combined,111.94552375003695,True
physics (2),2,closed_loop,4,fouling_dominant,fouling_dominant,92.26239187503234,True
physics (2),3,closed_loop,0,decay_dominant,decay_dominant,94.78484108299017,True
physics (2),3,closed_loop,1,decay_dominant,decay_dominant,103.81003512511961,True
physics (2),3,closed_loop,2,decay_dominant,combined,66.53853374999017,True
physics (2),3,closed_loop,3,decay_dominant,decay_dominant,132.07761254091747,True
physics (2),3,closed_loop,4,decay_dominant,decay_dominant,195.19895120803267,True
physics (2),4,closed_loop,0,combined,combined,72.63588304189034,True
physics (2),4,closed_loop,1,combined,combined,80.22687679110095,True
physics (2),4,closed_loop,2,combined,combined,81.49415687494911,True
physics (2),4,closed_loop,3,combined,combined,62.89026379189454,True
physics (2),4,closed_loop,4,combined,combined,67.70081024989486,True
physics (2),5,closed_loop,0,fouling_dominant,fouling_dominant,82.58244520798326,True
physics (2),5,closed_loop,1,fouling_dominant,fouling_dominant,55.34810770791955,True
physics (2),5,closed_loop,2,fouling_dominant,fouling_dominant,68.9909621248953,True
physics (2),5,closed_loop,3,fouling_dominant,fouling_dominant,60.90707695786841,True
physics (2),5,closed_loop,4,fouling_dominant,fouling_dominant,72.68588945805095,True
physics (2),6,open_loop,0,fouling_dominant,fouling_dominant,97.87631579185836,True
physics (2),6,open_loop,1,fouling_dominant,fouling_dominant,78.46467783395201,True
physics (2),6,open_loop,2,fouling_dominant,fouling_dominant,129.97777812485583,True
physics (2),6,open_loop,3,fouling_dominant,fouling_dominant,88.91615033405833,True
physics (2),6,open_loop,4,fouling_dominant,fouling_dominant,82.89172720792703,True
physics (2),7,closed_loop,0,fouling_dominant,fouling_dominant,55.4748671669513,True
physics (2),7,closed_loop,1,fouling_dominant,fouling_dominant,90.71866404102184,True
physics (2),7,closed_loop,2,fouling_dominant,fouling_dominant,54.01669416716322,True
physics (2),7,closed_loop,3,fouling_dominant,fouling_dominant,92.34695475012995,True
physics (2),7,closed_loop,4,fouling_dominant,fouling_dominant,46.054406750015914,True
minimal (6),0,open_loop,0,healthy,combined,37.01740420795977,True
minimal (6),0,open_loop,1,healthy,combined,77.10769870807417,True
minimal (6),0,open_loop,2,healthy,fouling_dominant,37.80721987481229,True
minimal (6),0,open_loop,3,healthy,combined,59.54497345816344,True
minimal (6),0,open_loop,4,healthy,fouling_dominant,44.30311645916663,True
minimal (6),1,closed_loop,0,healthy,healthy,41.86037791590206,True
minimal (6),1,closed_loop,1,healthy,fouling_dominant,36.8906547089573,True
minimal (6),1,closed_loop,2,healthy,healthy,39.248715500114486,True
minimal (6),1,closed_loop,3,healthy,fouling_dominant,38.54469324997626,True
minimal (6),1,closed_loop,4,healthy,healthy,71.70488837477751,True
minimal (6),2,closed_loop,0,fouling_dominant,combined,48.88437983393669,True
minimal (6),2,closed_loop,1,fouling_dominant,fouling_dominant,82.58449720893987,True
minimal (6),2,closed_loop,2,fouling_dominant,combined,953.2161707088817,True
minimal (6),2,closed_loop,3,fouling_dominant,fouling_dominant,47.75080166594125,True
minimal (6),2,closed_loop,4,fouling_dominant,fouling_dominant,52.35858316603117,True
minimal (6),3,closed_loop,0,decay_dominant,decay_dominant,105.99756504083052,True
minimal (6),3,closed_loop,1,decay_dominant,decay_dominant,102.25191670795903,True
minimal (6),3,closed_loop,2,decay_dominant,combined,54.564837999874726,True
minimal (6),3,closed_loop,3,decay_dominant,decay_dominant,98.11554483301006,True
minimal (6),3,closed_loop,4,decay_dominant,decay_dominant,259.6827277918346,True
minimal (6),4,closed_loop,0,combined,combined,44.321454958058894,True
minimal (6),4,closed_loop,1,combined,combined,143.0706274160184,True
minimal (6),4,closed_loop,2,combined,combined,48.469189333030954,True
minimal (6),4,closed_loop,3,combined,combined,43.97650895919651,True
minimal (6),4,closed_loop,4,combined,combined,45.175542667042464,True
minimal (6),5,closed_loop,0,fouling_dominant,fouling_dominant,65.14071658393368,True
minimal (6),5,closed_loop,1,fouling_dominant,fouling_dominant,60.92208212497644,True
minimal (6),5,closed_loop,2,fouling_dominant,fouling_dominant,72.84389450005256,True
minimal (6),5,closed_loop,3,fouling_dominant,fouling_dominant,66.88755866605788,True
minimal (6),5,closed_loop,4,fouling_dominant,fouling_dominant,54.73912824993022,True
minimal (6),6,open_loop,0,fouling_dominant,fouling_dominant,86.78327875002287,True
minimal (6),6,open_loop,1,fouling_dominant,fouling_dominant,56.586094541009516,True
minimal (6),6,open_loop,2,fouling_dominant,fouling_dominant,58.77055975003168,True
minimal (6),6,open_loop,3,fouling_dominant,fouling_dominant,77.66494924994186,True
minimal (6),6,open_loop,4,fouling_dominant,fouling_dominant,118.80112375016324,True
minimal (6),7,closed_loop,0,fouling_dominant,fouling_dominant,43.678348208079115,True
minimal (6),7,closed_loop,1,fouling_dominant,fouling_dominant,51.348341166973114,True
minimal (6),7,closed_loop,2,fouling_dominant,fouling_dominant,45.596994834020734,True
minimal (6),7,closed_loop,3,fouling_dominant,fouling_dominant,66.13892620895058,True
minimal (6),7,closed_loop,4,fouling_dominant,fouling_dominant,59.97223650012165,True
full (29),0,open_loop,0,healthy,combined,43.667330916039646,True
full (29),0,open_loop,1,healthy,combined,42.852137374924496,True
full (29),0,open_loop,2,healthy,fouling_dominant,35.25066929194145,True
full (29),0,open_loop,3,healthy,combined,63.11809887504205,True
full (29),0,open_loop,4,healthy,combined,36.7157005420886,True
full (29),1,closed_loop,0,healthy,fouling_dominant,74.57472266699187,True
full (29),1,closed_loop,1,healthy,fouling_dominant,42.94324699998833,True
full (29),1,closed_loop,2,healthy,fouling_dominant,32.27526737493463,True
full (29),1,closed_loop,3,healthy,fouling_dominant,58.21645729220472,True
full (29),1,closed_loop,4,healthy,fouling_dominant,54.750721332849935,True
full (29),2,closed_loop,0,fouling_dominant,fouling_dominant,41.7052387080621,True
full (29),2,closed_loop,1,fouling_dominant,fouling_dominant,105.0635300418362,True
full (29),2,closed_loop,2,fouling_dominant,combined,3457.1396092919167,True
full (29),2,closed_loop,3,fouling_dominant,fouling_dominant,52.77714287512936,True
full (29),2,closed_loop,4,fouling_dominant,fouling_dominant,39.284032416995615,True
full (29),3,closed_loop,0,decay_dominant,decay_dominant,104.62422541691922,True
full (29),3,closed_loop,1,decay_dominant,decay_dominant,93.90698004188016,True
full (29),3,closed_loop,2,decay_dominant,combined,53.85057545895688,True
full (29),3,closed_loop,3,decay_dominant,combined,73.23150374996476,True
full (29),3,closed_loop,4,decay_dominant,decay_dominant,156.97383183403872,True
full (29),4,closed_loop,0,combined,combined,37.34440100006759,True
full (29),4,closed_loop,1,combined,combined,91.61665266705677,True
full (29),4,closed_loop,2,combined,combined,38.225127042038366,True
full (29),4,closed_loop,3,combined,combined,45.956941292155534,True
full (29),4,closed_loop,4,combined,combined,42.23651612503454,True
full (29),5,closed_loop,0,fouling_dominant,fouling_dominant,58.5783860408701,True
full (29),5,closed_loop,1,fouling_dominant,fouling_dominant,64.97493591695093,True
full (29),5,closed_loop,2,fouling_dominant,fouling_dominant,85.85283374995925,True
full (29),5,closed_loop,3,fouling_dominant,fouling_dominant,65.39697604184039,True
full (29),5,closed_loop,4,fouling_dominant,fouling_dominant,59.25123416609131,True
full (29),6,open_loop,0,fouling_dominant,fouling_dominant,86.28803437505849,True
full (29),6,open_loop,1,fouling_dominant,fouling_dominant,63.74045820790343,True
full (29),6,open_loop,2,fouling_dominant,fouling_dominant,121.25107983290218,True
full (29),6,open_loop,3,fouling_dominant,fouling_dominant,85.66644587507471,True
full (29),6,open_loop,4,fouling_dominant,fouling_dominant,155.76307341596112,True
full (29),7,closed_loop,0,fouling_dominant,fouling_dominant,43.04075683304109,True
full (29),7,closed_loop,1,fouling_dominant,fouling_dominant,49.416252667084336,True
full (29),7,closed_loop,2,fouling_dominant,fouling_dominant,44.50885604205541,True
full (29),7,closed_loop,3,fouling_dominant,fouling_dominant,49.868499542120844,True
full (29),7,closed_loop,4,fouling_dominant,fouling_dominant,50.86085754213855,True
